text,score,magnitude
"b'There is more than just #Bitcoin \n\nAnd there is definitely more than just #Litecoin \n\nOnly hodling one coin is equivalent to only owning one stock. Balance your portfolio. Mostly BTC, some ETH, LTC, LINK and then a few ""long shots"" as if they were penny stocks \n\nThat\'s just me..'",0.1,2.4
b'DOWNLOAD #BeeNetwork !!\n\n- New #Bitcoin 2.0 !\n- 2MIL+ members !\n- Halving at next milestone --&gt; 10M members !\n\nCLAIM 1 FREE TOKEN !\nUse my code: AceLolzz\nhttps://t.co/rXf89QjEVD\n\n#WIN #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #money #cryptonews #btc #altcoin',0.3,2.0
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
b'#tenset giveaway !!! Win 1 from the 5 #Ledger nano s! \nSimply follow our Twitter and retweet that Tweet !!!\nGooooood luck ;) \n\nResults - SUNDAY :) \n\n#Bitcoin \nisit https://t.co/Cxc6kSu72a and join to our Whitelist :) https://t.co/5LUxAT1UFv',0.6,4.8
b'INSTALL #CRYPTOTAB !!\n\n- MAKE #PASSIVEINCOME !\n- Claim daily #CRYPTO !\n- #BITCOIN miner built-in !\n\nhttps://t.co/fMBvnkUmhd\n\n#WIN #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #money #cryptonews #bitcoin #btc #cryptocurrencynews #Binance #altcoin #trading #news',0.2,2.0
"b'""I am pretty confident we are the new wealthy elite, gentlemen."" The price of a #bitcoin was $12.80. https://t.co/ESzNzADMY1'",0.3,1.2
b'SIGN UP FOR #PIPEFLARE !!\n\n- Claim DAILY #FREE #ZEC &amp; #DOGE !\n- Do tasks and play games to #Earn more !\n\nhttps://t.co/z7OEmTWWz3\n\n#crypto #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #bitcoin #cryptocurrencynews #altcoin #cryptonews #passiveincome #NEWS',0.4,2.2
"b""\xf0\x9f\xa6\x84VRS | Epic \xe2\x9a\x94\xef\xb8\x8f TRADERS BATTLE 2021\n\n \xf0\x9f\x8f\x86 Winners ' Fund: 100 000 $ |  USDT&amp;VRS \n\nhttps://t.co/CFrSnx1XND\n\nPart of the funds from the trade battle will be used to support the charity platform \xe2\x99\xa5\xef\xb8\x8f PLANET of CHARITY\n\n#Trader #cryptocurrencies #Crypto #USDT #VRS #BTC #blockchain https://t.co/jgBUCyEqvg""",0.1,0.7
"b'Invest now. You slept on #Bitcoin, this will be $10k by Spring time! \n\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/2sshpVW8mB\n\n\xf0\x9f\x93\x88#Formula1 #F1\n\n$TSXV $IMT $PENN $ENDP $DHT $INO $OPK $LK $CCL $SPCE $OXY $WDFC $MEDH $MRNA $CVE $AAL $HALB $ENZC $TSLA $CHW $ENZC $DOCU $SQ $DAL $AYTU $COUV $BMRA $TTOO $BTC $OTC'",0.1,0.7
"b""@fluffypony @criptodiana You don't transfer $630m everday. But you do send and receive $20 and such other small amounts multiple times on a daily basis for many reasons - groceries, taxi etc. #Bitcoin is Peer to Peer Cash.""",-0.2,0.8
"b'$eXRD, the ANNOINTED ONE is here! The Radix token will be available to trade @bitfinex TODAY at 12:00 pm UTC. \n@radixdlt @RadixEcosystem \n\nLiquidity pool rewards up to 6X @UniswapProtocol \nGet your RADIX and stay safe guys \xf0\x9f\xa4\x99\xf0\x9f\xa4\x99\xf0\x9f\xa4\x99\n #radixiscoming #flexathon\n\n#BTC #ETH #DOT #LINK https://t.co/BRHw1ZmSxN'",0.3,1.7
b'I will give one random follower who retweets this $25 #Bitcoin in 24 hours. Must follow @BuyTheDipz',0.0,0.6
b'@DominicFrisby What if this is only the beginning. An attack this accurate proves nothing good will come. What will happen if $btc will be tested as described in the whitepaper as cash? What happens when this will be repeated with a certain pattern? \xe2\x9b\x93 you tell me.. $btc is not #bitcoin',-0.4,2.1
b'INSTALL #PRESEARCH BROWSER EXTENSION !!\n\n#earn easy #money while browsing !!\n\nhttps://t.co/FfvGa1UqdX\n\n#crypto #WIN #ico #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #cryptonews #bitcoin #BTC #cryptocurrencynews #Binance #altcoin #trading #news #passiveincome',0.5,2.0
b'Logo for @NewLifeAI #UniversalcreatorIncome reminiscent of #SEG #UEC #UniversalEnergyCoin logo https://t.co/nfkFrpgvWq Now imagine if @Tesla had device to make electricity so cheap for them they could out compete coal &amp; hydro powered #BTC mines &amp; make $1 to $10 T #ArtistUtopia https://t.co/uMaKh1aiJW',0.0,0.0
b'Looks like @lagarde &amp; @ecb tweeting about #Bitcoin https://t.co/g51nT9guUQ',-0.2,0.2
"b'\xf0\x9f\x8d\x8c\xf0\x9f\x8d\x8c\xf0\x9f\x8d\x8cGIVEAWAY TIME\xf0\x9f\x8d\x8c\xf0\x9f\x8d\x8c\xf0\x9f\x8d\x8c\n\n1st prize is 19,000 $BANANO. \n2nd prize is 19,000 $BANANO. \n3rd prize is 19 $NANO. \n\nJust RETWEET this and make sure you\xe2\x80\x99re on my followers list to be entered!\n\n@bananocoin \nhttps://t.co/oTzb9LsNsA\n\n#giveaway #Crypto #bitcoin #ethereum #nano #banano'",0.2,1.6
"b""Super excited to announce the project that's been occupying my evenings over the last year: Nakamoto is a new #Bitcoin light-client written in Rust.\n\nhttps://t.co/2mn9M64w7x""",0.5,1.1
b'An important lesson if you want to succeed in the space.\n\n#Bitcoin #Ethereum #Cryptocurrency #Altcoins https://t.co/PMND1QHbWR',0.3,0.7
"b'The most awaited bounty campaign is live on BitcoinTalk!\n\nMegaTron launched bounty campaign worth 5,000,000 MTR ~ 140,000 USD ~ 5,000,000 TRX\n\nClaim your free MTR now!\n\nBounty Link -  https://t.co/IRUX7wo6kG\n\n#Megatron #blockchain #cryptocurrency #technology #bitcoin #money https://t.co/LpLacFhJOB'",0.2,1.3
b'SIGN UP FOR #PUBLISH0X !!\n\n- #EARN DAILY #BAT &amp; #ETH !\n- Do tasks to earn more #CRYPTO !\n\nhttps://t.co/xFiz2HhxFN\n\n#WIN #ico #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #ETH #cryptonews #bitcoin #BTC #cryptocurrencynews #Binance #altcoin #trading #news',0.3,1.5
b'I am partnering with myself to #giveaway $100 #BNB or $DVT to a random person who does the following:\n\n \xf0\x9f\xa4\x8c Like + Retweet\n\xf0\x9f\xa4\xa8Tag 3 friends \n \xe2\x9c\x8aFollow @DeVaultCrypto + @Decentralizd (me)\n \nGood luck! #BinanceSmartChain #BSC $BSC $BNB #Bitcoin $ETH #ETH\n\n\xf0\x9f\x91\x89 *Ends Thursday 1/28 https://t.co/SnIsv6RYDN',0.2,1.8
b'JOIN #BINANCE FOR FREE !!\n\n- Receive 20% #Commission !\n- Biggest #EXCHANGE in the world !\n\nhttps://t.co/ng5tszWKeg\n\n#WIN #ico #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #money #cryptonews #bitcoin #btc #cryptocurrencynews #altcoin #trading #news',0.4,2.1
b'Logo for @NewLifeAI #UniversalcreatorIncome reminiscent of #SEG #UEC #UniversalEnergyCoin logo https://t.co/nfkFrpgvWq Now imagine if @Tesla had device to make electricity so cheap for them they could out compete coal &amp; hydro powered #BTC mines &amp; make $1 to $10 T #ArtistUtopia https://t.co/uMaKh1aiJW',0.0,0.0
b'An important lesson if you want to succeed in the space.\n\n#Bitcoin #Ethereum #Cryptocurrency #Altcoins https://t.co/PMND1QHbWR',0.3,0.7
b'#Bitcoin\nWe are introducing in the #cryptosphere : probably the biggest #opportunity since 2017. Welcome to The #google of #blockchain \xf0\x9f\x8c\x8d $grt protocol\n##cryptogem #visionary #newera #cryptocurrencies #crypto #universe #multiverse @coingecko #grtgoogleblock @graphprotocol https://t.co/9pSXhlWyl8',0.2,0.5
b'\xf0\x9f\x94\xae Will #bitcoin rise back up above $34k this weekend?',0.0,0.0
b'Ballet wallets are now trusted by customers to secure an aggregate total of more than 100 million dollars worth of crypto assets.\n\n#Bitcoin #Litecoin #Dogecoin #Ethereum \n\nhttps://t.co/9b6RCMfuab https://t.co/bwoM754IVf',0.1,0.5
b'@PeterSchiff You are a #Bitcoin Legendary living meme!',0.7,0.7
b'JOIN #Coinbase NOW !\n \n#Earn $10 worth of #Bitcoin for the first $100 you spend on any #cryptocurrency !!\n\nhttps://t.co/2T0I7Q3w8a\n\n#money #crypto #BTC #Ethereum #XRP #Litecoin #EOS #XLM #BAT #ZEC #BCH #ETC #LINK #DASH #ZRX #REP #DAI #OXT  #CryptocurrencyExchange #Cryptogiveaway',0.3,1.5
b'An important lesson if you want to succeed in the space.\n\n#Bitcoin #Ethereum #Cryptocurrency #Altcoins https://t.co/PMND1QHbWR',0.3,0.7
b'SIGN UP FOR #COINTIPLY !!\n\n- Claim hourly #bitcoin !\n- Play #games to #earn more !\n- Try the multiplier to win BIG !\n\nhttps://t.co/jqqqKySOXU\n\n#crypto #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #ETC  #blockchain #BTC  #cryptocurrencynews #altcoin #cryptonews #trading',0.4,2.8
b'#bitcoin art by @geophphreigh\n\nA great artist and even greater person. Thank you Geo! https://t.co/xDiR4D53b9',0.6,2.5
"b'Can XRP, XMR, other altcoin holders swing trade their way out of a bear market? - #Altcoins #Bitcoin #BTCTradingView #News #News1 #Social #TradingView - https://t.co/Wt4tEhWo1I https://t.co/FmCxEXuFV3'",0.0,0.2
b'INSTALL #MOBILIO !!\n\n#Earn #rewards by not using your phone while driving !\n\nClaim 50 free points !\nUse code: 3i33tg\n\nhttps://t.co/hYxySX4G1R\n\n#WIN #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #money #cryptonews #bitcoin #btc #cryptocurrencynews #altcoin',0.3,2.3
b'Voyager Token (VGX) gains 926% as mergers and acquisitions bring new users #crypto #btc https://t.co/AScCZfPJKf',0.3,0.3
"b'Invest now. You slept on #Bitcoin, this will be $10k by Spring time! \n\n\xe2\x9e\xa1\xef\xb8\x8f https://t.co/2sshpVW8mB\n\n\xf0\x9f\x93\x88#Formula1 #F1\n\n$TSXV $IMT $PENN $ENDP $DHT $INO $OPK $LK $CCL $SPCE $OXY $WDFC $MEDH $MRNA $CVE $AAL $HALB $ENZC $TSLA $CHW $ENZC $DOCU $SQ $DAL $AYTU $COUV $BMRA $TTOO $BTC $OTC'",0.1,0.7
b'-\nLast day to join our 50$ #Giveaway\xe2\x8f\xb0\n\nTake part here \xf0\x9f\x91\x89 https://t.co/R8aO9xLwtZ\n\n#Ad #cryptocurrency #Giveaway #Airdrop #Bitcoin\n #BTC #Crypto #money #ethereum #ETH @cctip_io draw 0.00001 ETH 85 @coinkit_ mon 5 10 BTC',0.0,0.4
b'I am partnering with myself to #giveaway $100 #BNB or $DVT to a random person who does the following:\n\n \xf0\x9f\xa4\x8c Like + Retweet\n\xf0\x9f\xa4\xa8Tag 3 friends \n \xe2\x9c\x8aFollow @DeVaultCrypto + @Decentralizd (me)\n \nGood luck! #BinanceSmartChain #BSC $BSC $BNB #Bitcoin $ETH #ETH\n\n\xf0\x9f\x91\x89 *Ends Thursday 1/28 https://t.co/SnIsv6RYDN',0.2,1.8
b'BUY THE BEST #CRYPTO #WALLET HERE !!\n\n- 100% secure !\n- Free shipping worldwide !\n- Great deals !\n- The best price/quality products !\n\n\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90 RATINGS !!\n\nhttps://t.co/wv1oKd7YDx\n\n#Bitcoin #cryptocurrency #Ethereum #trading #blockchain #altcoin #CryptoTwitter #cryptoexchange',0.6,5.3
b'#tips #affiliate #affiliatemarketing #businesstips #affiliateprogram #affiliates  #bitcoin #btc  #affiliatemarketing #gift #shopping #gifts #onlineshopping #bitcoin free shipping on purchases over $25 at #Amazon https://t.co/N4zGZzAgvt',0.1,0.1
b'SIGN UP FOR #InitiativeQ !\n\n#CLAIM YOUR 10K+ TOKENS NOW !\n\nHere is my invite-only link: https://t.co/Y2r1jsRJjI\n\n#WIN #ico #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #money #cryptonews #bitcoin #btc #cryptocurrencynews #Binance #altcoin #trading #news',0.0,1.2
b'#Bitcoin is the hardest money in the galaxy',-0.6,0.6
b'I am partnering with myself to #giveaway $100 #BNB or $DVT to a random person who does the following:\n\n \xf0\x9f\xa4\x8c Like + Retweet\n\xf0\x9f\xa4\xa8Tag 3 friends \n \xe2\x9c\x8aFollow @DeVaultCrypto + @Decentralizd (me)\n \nGood luck! #BinanceSmartChain #BSC $BSC $BNB #Bitcoin $ETH #ETH\n\n\xf0\x9f\x91\x89 *Ends Thursday 1/28 https://t.co/SnIsv6RYDN',0.2,1.8
b'JOIN #UPLAND !!\n\n- 4K+ Free $UPX tokens !\n- Claim in-game items to #earn more !\n\nhttps://t.co/LAMdK9GEWL\n\n#crypto #WIN #ico #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #ETH #cryptonews #bitcoin #BTC #cryptocurrencynews #Binance #altcoin #trading #news',0.4,2.3
b'BUY THE BEST #CRYPTO #WALLET HERE !!\n\n- 100% secure !\n- Free shipping worldwide !\n- Great deals !\n- The best price/quality products !\n\n\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90\xe2\xad\x90 RATINGS !!\n\nhttps://t.co/1NnjfAeYkC\n\n#Bitcoin #cryptocurrency #Ethereum #trading #blockchain #altcoin #CryptoTwitter #cryptoexchange',0.6,5.3
"b""#Bitcoin\xc2\xa0\xef\xbf\xbc couldn't break the first area of resistance, because a trading group with 170,000 members decided to dump $btc and short it simultaneously. Given the number of members, a further correction towards $25K is on the tables. Check their updates: https://t.co/kq8sy8tnuk\xe2\x80\xa6 https://t.co/VxakCaGbe4""",0.0,1.1
"b'\xf0\x9f\x92\x97\xf0\x9f\xa5\x80 #BTC/USDT \n\n\xe2\x80\xa2 #BTC is printing Adam &amp; Eve bottom formation \xf0\x9f\x91\x80\n\xe2\x80\xa2 It Need to break The resistance level About To play Out\n\xe2\x80\xa2 Caught by 200 ema on 1Hr, \n\xe2\x80\xa2 Will enter if we break above 34200$. \n\xe2\x80\xa2 Invalidation is cross below the 200 ema. https://t.co/QxbRMBhjYG'",0.0,1.5
"b'""We\'re going to have thousands of executives, officers &amp; directors, &amp; advisors of corporations coming together in the first week of February.  They all want to figure out how to plug #Bitcoin into their balance sheet..."" \xe2\x80\x94@michael_saylor https://t.co/e0DPqmvr3I'",0.0,0.9
"b'A sense of humour is always good, I bet that the atmosphere behind the scenes is very positive, as they have a lot to share Smiling face with sunglassesRocketFull moon symbol!\n$BOLT\n@Bolt_Global\n #BOLT\n@JamalHassim \n@SJackfield \n @DaveCryptos \n@boltx_finance\n #Bitcoin #DeFi #BTC https://t.co/CxL2qGIFj4'",0.5,1.0
b'JOIN #ROLLERCOIN !!\n\n#EARN #Bitcoin while playing games !\n\nhttps://t.co/PQN8XC2O3J\n\n#crypto #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #ETH #blockchain #cryptonews #bitcoin #BTC #cryptocurrencynews #Binance #altcoin #trading #WIN #news #passiveincome',0.4,1.7
"b'Monero, Waves, Tron price analysis roundup: The cryptocurrency continues to lose its value this week, the price of Bitcoin went below $30000 this Friday, and the risk of further declines is not over\xc2\xa0... https://t.co/8RHBx6XyOt #bitcoin #bnb'",-0.6,0.6
b'Download #WALLEM !!\n\n- Earn $10 worth of #Pteria tokens !\n- Earn more in a #PokemonGO style game !\n\nReferral Code: 1026355\n\nhttps://t.co/xnyTiRN1EF\n\n#crypto #WIN #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #cryptonews #bitcoin #BTC #Binance #altcoin #trading',0.4,2.7
b'@WhaleTrades BIDS REDUCED LOWER TO WAIT AT 31030 AND CHEAPER #bitcoin $BTC',0.0,0.0
b'SIGN UP FOR #AUTOFAUCET !!\n\n- NO WITHDRAWAL MINIMUM !\n- Claim daily #Crypto !\n- Tasks &amp; mining !\n\nhttps://t.co/o0hyHhWgbr\n\n#WIN #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #money #cryptonews #bitcoin #btc #cryptocurrencynews #Binance #altcoin #trading #news',0.0,1.9
b'#Bitcoin Enters Consolidation Phase as Analysts Set Their Sights on This Major Crypto https://t.co/kpMeoqtHbE https://t.co/PW6r8Xs0qv',0.0,0.0
b'INSTALL CRYPTO . COM !!\n\n#earn $25 when you #stake 2500 $CRO !!\n\nUse my referral link: https://t.co/0X8DT110pE\n\n#crypto #WIN #ico #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #blockchain #ETH #cryptonews #bitcoin #BTC #cryptocurrencynews #Binance #altcoin #trading #news',0.2,1.1
"b""@VP Don't forget to buy #Bitcoin""",0.6,0.6
b'#BTC 4H HA Bullish https://t.co/9x4sVIzkld',-0.8,0.8
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
b'SIGN UP FOR #FREEMINING !!\n\n- Claim daily #bitcoin !\n- Daily freespins !\n- Compete in contests !\n\nhttps://t.co/KhYGs9wHa4\n\n#crypto #cryptocurrency #cryptogiveaway #GiveAWAY #Ethereum #ETC  #blockchain #BTC  #cryptocurrencynews #altcoin #cryptonews #trading #passiveincome',0.3,2.2
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
b'New to #bitcoin &amp; #cryptocurrency trading?\n\nDrop me a message \xe2\x80\x98I\xe2\x80\x99m in\xe2\x80\x99 to get started with our free trading signals.\xf0\x9f\x92\xb0',0.0,0.0
b'An important lesson if you want to succeed in the space.\n\n#Bitcoin #Ethereum #Cryptocurrency #Altcoins https://t.co/PMND1QHbWR',0.3,0.7
b'@chainlink now has a bigger market cap than @litecoin as it soared recently... Didn\xe2\x80\x99t get the chance to get in early enough for @chainlink or @Polkadot but none of that matters when @Bitcoin finds true price discovery... #BTC @Bitcoin https://t.co/tDgeNS0CEQ',0.0,0.5
"b""The reason a one-ounce gold coin is twice as valuable as a half-ounce gold coin is that you can make twice as much jewelry with an ounce of #gold as you can with a half ounce. Since you can't make anything out of a Bitcoin, a full #Bitcoin has no more value than half a Bitcoin.""",-0.2,1.2
"b'Technically, I have a greater claim to be Satoshi than CSW \n\nThe history of #Bitcoin\xc2\xa0 has my name on it, as you can see - not Craig Wright https://t.co/9CsSRAIulp'",-0.4,0.8
"b'""I am pretty confident we are the new wealthy elite, gentlemen."" The price of a #bitcoin was $12.80. https://t.co/ESzNzADMY1'",0.3,1.2
"b'$BTC / $USDT\n\nHow long before we fall out of this channel?\n\nHowever I do think #Bitcoin will revisit lows and MOON hard. While we\xe2\x80\x99re in it, $ALTS are gonna continue to party. https://t.co/xS6saXmvEa'",0.1,1.4
b'Get free #crypto by joining the $DIXT airdrop on LATOKEN! \n\nComplete simple tasks and invite friends to get a share of 100K @DIXTFinance DIXT tokens! \xf0\x9f\x92\xb0\n\nStart earning: https://t.co/BsUYLwzkyO\n\n#cryptocurrency #Bitcoin #BTC #ETH https://t.co/zAE2w7BUiG',0.3,1.9
b'Drop your $BTC address below and 1 lucky comment will get some free #Bitcoin \n\n@cctip_io draw 1000 NOV 250',0.3,0.7
b'@UMEfinance thanks to a great community. I received my 10 ume in my wallet. Great job @Mr_Kartrud. Am really proud to be a part of this community. Come and Farm UME and EFT today . #cryptocurrency #Ethereum #Bitcoin #CryptoMining',0.5,3.4
"b'Have you tried sending Bitcoin over the Tron blockchain yet?\n\nPut your beliefs aside and give it a shot, I guarantee you\xe2\x80\x99ll be pleasantly surprised!\n\n#Bitcoin #BTC #TRX #TRON https://t.co/liUQU18zqu'",0.2,1.4
b'Time : 2021-01-23T21:21:11.6904385Z\n\n#Coding Test now.\n#Someone #dark #Python #C++ #Telegram #facebook #twitter #instagram #code #love #time #today #news #programming #girls #boys #badthings #bad #bitcoin #follow #emarkiting #Gmail',-0.1,0.5
b'Bitcoin just hanging out at 32K is just glorious. #bitcoin',0.5,1.0
"b'Here\xe2\x80\x99s How #Bitcoin Could Go to $1 Million, According to Morgan Creek Digital\xe2\x80\x99s Anthony Pompliano https://t.co/XjhPJyuitH https://t.co/0NlQVYtIg9'",0.0,0.0
b'Did you know;\n\nThat @FirdaosOfficial partners @emaardubai (#RealEstate) properties donated $27 million to Social Solidarity Fund to fight #COVID19 \xf0\x9f\x92\xaa\n https://t.co/tFhCjN97hn\n\n#fdo $fdo #zpae #defi #cryptocurrencies #Crypto #btc #eth #propertyforsale #propertyinvestment https://t.co/9c1PLgN8sQ',0.0,0.2
b'Time : 2021-01-23T21:26:12.3957593Z\n\n#Coding Test now.\n#Someone #dark #Python #C++ #Telegram #facebook #twitter #instagram #code #love #time #today #news #programming #girls #boys #badthings #bad #bitcoin #follow #emarkiting #Gmail',-0.1,0.4
"b'#DeFi Daily : $RUNE, $LINK, $CRV are the best coins\n\nRead:https://t.co/cXy5d8DzSi\n\n#cryptocurrency #cryptonews #cryptotwitter #follow #btc #bitcoin #blockchain #ethereum $BTC #DeFi #cryptogiveaway #RUNE #RUNEUSDT #LINK #INKUSDT #CRV  #CRVUSDT'",0.2,0.8
"b'$XRP has one of the fastest growing user bases in the crypto industry, and the upcoming Spark Token by @FlareNetworks will accelerate this growth even further. \n\nThats why our institutional clients are especially interested in #Ripple.\n\n#XRPCommunity #xrpthestandard #Bitcoin'",0.5,1.5
"b""@benmezrich @cameron The statement is used by some social media to change people's perception about #Bitcoin, altcoins so they don't get on the boat quick enough. Also to keep the populations from passing to crypto to quickly, otherwise banks will be loosing top dollar\xf0\x9f\x92\xb5\xf0\x9f\x92\xb7\xf0\x9f\x92\xb6\xf0\x9f\x92\xb4""",-0.4,0.8
"b'Egalitarian and democratic for the first time in human history this ladder does not care about your bloodline, pedigree, connections, education or insider information.\n\nThis ladder can not be knocked down when someone wants to be the last person up.\n\nThis ladder is #Bitcoin. https://t.co/RdME7uSYOK'",0.0,1.5
b'POKER FREEROLL\n@ACR_POKER\nOTR Grinders Saturday $10 Freebuy\n23 de janeiro 2O21 \n\xf0\x9f\x94\x90:\xc2\xa0NOLIMITS\n\nhttps://t.co/OJIkmbwpI3\n#gaming\n#Online #xbox\n#Poker #style #gamer #game #twitchtv #Motivation #life #BTC #CBLOL #free #gamedev #goLOUD #twitchstreamer #follow #GOpaiN #LBFF4 #LBFF https://t.co/NPy4OpzmU9',0.1,0.2
b'@BitcoinTina 85% minimum #Bitcoin 4life',0.0,0.0
b'Time : 2021-01-23T21:26:12.3957593Z\n\n#Coding Test now.\n#Someone #dark #Python #C++ #Telegram #facebook #twitter #instagram #code #love #time #today #news #programming #girls #boys #badthings #bad #bitcoin #follow #emarkiting #Gmail',-0.1,0.4
b'Looking for a fresh signal in 2021 #stockmarket outcome #tradingpsychology #tradingsignal #Algorithms #stocks #futures #forex #cryptocurrencies #Bitcoin #BTC $SPX $NDX $DJI $RUT $AAPL $AMZN $NFLX $TSLA the #stockmarket video will be done by tonight https://t.co/qTA5CZCzKL',0.0,0.0
b'$100 #Giveaway \xf0\x9f\x8e\x81 1 winner in 24 hours.\n\nRetweet and Follow @battlestationgg to enter.\n\n#Giveaways #Sweepstakes #CommunityGiveaway #win #free #freebie #Competition #Contest #ContestAlert #Bitcoin #bitcoinnews #Samsung #Money #Xbox',0.2,0.7
