text,score,magnitude
b'$ETH $ETHUSD #Ethereum  $BTC $LINK\n\nAn almost 3 months plan came to an end. It needs a lot of mental power to follow a plan for so long and especially with the volatility we have in this market. Congratulations to all that held all this time. The game just started!! https://t.co/Sf5Q8qsVQk',0.0,2.7
b'Buy BTCSHT\n\n1 Eth | $1232 | 100 BTCSHT\n\nTo purchase BTCSHT\n\nSend ETH to : 0x17A70a341a9cc657bCA097fAb92BBAd7724C3383\n\n1 ETH = 100 BTCSHT\n\nRetweet\nFollow\nTag 5 others to win Bounty reward\nComment waller address\n\n#ico #airdrops #eth https://t.co/2DZxVC9kb5',0.1,1.0
"b""i wish the #ethereum network was a real place, i'd like to live there if they lowered the taxes""",-0.4,0.4
b'Requesting faucet funds into 0x0000000000000000000000000000000000000000 on the #Rinkeby #Ethereum test network.',-0.1,0.1
b'And I shared all my next creations! Now they are waiting for their collectors!! @makersplaceco\n\nVisit the page for better quality\xf0\x9f\x91\x87\nhttps://t.co/bLatn9tMee\n\n#cryptoart #futureart #cryptoartist #NFT #NFTs #NFTart #NFTartist #ETH #Ethereum #Bitcoin #digitalart #raredigitalart https://t.co/SwjX6NCGho',0.2,2.0
b'$BASE #DeFi #Uniswap #Chainlink #Ethereum #Crypto #Rebase #YieldFarming $SUSHI $DDIM #AMPL $AMPL https://t.co/v9p4TiUfLq',0.1,0.1
b'https://t.co/rSm68zf95J\n\nReceive $500 bonus by signing up and funding your account with at least $100 using my referral link.\nDon\xe2\x80\x99t miss out on this amazing opportunity \xf0\x9f\xa4\x91\xf0\x9f\x9a\x80\n\nhttps://t.co/df89wZqRM3.\xe2\x80\xa6\n\nReferral code: Nina\n\n#btc\xc2\xa0 #eth #xrp #crypto \n#fridaymorning \nSabrina Verzuz https://t.co/HnpofpjIaH',0.3,2.0
"b'Unique, modern, win-win trading strategies,\ndeveloped directly by the traders of the company\n\nhttps://t.co/DpJaSzjxB0 \n\n#btc #eth\n#PIVX'",0.4,1.4
b'-\nLast day to join our 50$ #Giveaway\xe2\x8f\xb0\n\nTake part here \xf0\x9f\x91\x89 https://t.co/R8aO9xLwtZ\n\n#Ad #cryptocurrency #Giveaway #Airdrop #Bitcoin\n #BTC #Crypto #money #ethereum #ETH @cctip_io draw 0.00001 ETH 85 @coinkit_ mon 5 10 BTC',0.0,0.4
"b'We are doing a $50 weekly giveaway to 1 follower each week that retweets this and replies ""#CryptoNews"". \nGood luck! #Bitcoin #Ethereum \xf0\x9f\x9a\x80\nhttps://t.co/vrg0ixC69d'",0.3,1.5
"b'Spectre DeFi Airdrops is Live,\nWe are Giving 1,000 People Free $SDF Tokens Each\nTo Participate\n\xf0\x9f\x94\xb4Retweet this Tweet\n\xf0\x9f\x94\xb4Retweet Pinned Tweet\n\xf0\x9f\x94\xb4Follow us\n\xf0\x9f\x94\xb4Comment Wallet Address\n\n#ico #airdrops #eth #freetokens #freecoins https://t.co/yKCjZdR7V9'",0.2,0.5
"b'Will be having meetings all day with our Global #Cryptocurrencies team over Zoom on the game plan for next week. I have some real strong thoughts on where we go from here in #BTC, #Bitcoin , #ETH , #Ethereum , #Altcoins... want to heart their thoughts!\n\nMoney Never Sleeps!'",0.6,1.8
"b'\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 DIDOF GIVEAWAY TIME \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\n\n\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89 1000 DIDOF GIVEAWAY TO LUCK 2 PEOPLE \xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\n\n\xf0\x9f\xa7\xbfFOLLOW \n\xf0\x9f\xa7\xbfLIKE , RT &amp; TAG 3 PEOPLE\n\xf0\x9f\xa7\xbfCOMMENT YOUR ERC20 ADDRESS\n\nGiveaway End After 24 Hours .\n\n#moreshare #moreearn\n\n#didof #Airdrops #Giveaway #erc20 #ETH https://t.co/IYu7gczNGN'",0.0,1.4
b'Now I understand how my wife feels at target. #ALTSEASON #link #btc #eth',0.3,0.6
b'#SAV3 update.\n\nUncensored replies and threads with line indicators are now live.\n\nMake a profile today at https://t.co/fhLfizLtKB\n\n#1stAmendment #Uncensored #SocialMedia #Snapchat #WeChat #DeleteFacebook #SignalDown #TwitterBan#Instagram #Facebook #Twitter #Signal #Ethereum #IPFS https://t.co/NYRV50aipx',0.0,0.5
b'When other coin is dipping.  #xdc $xdc from #xinfin holding strong! BiG PumP iNcoming! #btc #eth #xrp #xlm #bch #bsv #link #ada #trx #bnb #doge https://t.co/1znpucQ2G8',0.2,1.6
b'Goodbye World \xf0\x9f\x8c\x90\xf0\x9f\x8f\xb4\n\nEdition 1 / 1 Now Available to bid only @makersplaceco\n\nVisit the page for better quality\xf0\x9f\x91\x87\nhttps://t.co/bLatn9tMee\n\n#cryptoart #futureart #cryptoartist #NFT #NFTs #NFTart #NFTartist #ETH #Ethereum #Bitcoin #trippy #digitalart #raredigitalart https://t.co/K3PyZbFZWT',0.2,0.8
"b'Be aware aof this #scam\n new #Uniswap #Airdrop, It was announced very recently, you can claim 2.5 #ETH as long as your #wallet qualifies. How do I qualify? You have to have made at least 5 transactions on your wallet. https://t.co/aBVtcdTEnr'",-0.2,1.6
b'Get free #crypto by joining the $DIXT airdrop on LATOKEN! \n\nComplete simple tasks and invite friends to get a share of 100K @DIXTFinance DIXT tokens! \xf0\x9f\x92\xb0\n\nStart earning: https://t.co/BsUYLwzkyO\n\n#cryptocurrency #Bitcoin #BTC #ETH https://t.co/zAE2w7BUiG',0.3,1.9
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
b'ARIES FINANCIAL - A yield farming platform guided with Staking Pools.\n\nDetails: https://t.co/jOO8BlX2XY\n#DApps #DappOnline #ETH\n#CTBot Adrop Ram 120 BTT 60 https://t.co/GalQIuAafZ',0.0,0.0
b'$ BASE #DeFi #Uniswap #Chainlink #Ethereum #Crypto #Rebase #YieldFarming $ SUSHI $ DDIM $ AMPL https://t.co/s1Cht7OlY8',0.1,0.1
b'Have you two had the chance to meet? Highly recommend an idea scrum. Virtual coffee on me \n@elonmusk @diiorioanthony $TSLA #Ethereum #Bitcoin  \n@jaxx_io',0.3,0.9
"b'We are doing a $50 weekly giveaway to 1 follower each week that retweets this and replies ""#CryptoNews"". \nGood luck! #Bitcoin #Ethereum \xf0\x9f\x9a\x80\nhttps://t.co/vrg0ixC69d'",0.3,1.5
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
"b'Analysis: Strong Fundamentals Can Spike ETH Price To $10,000  #Bitcoin #Ethereum \n\nhttps://t.co/SaBoIooqjw'",0.2,0.4
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
b'\xf0\x9f\x8e\x81\xf0\x9f\x8e\x89 GIVEAWAY \n 200$ #BNB + 100 $KEBAB \n\nParticipate:\n\xf0\x9f\x91\x89 #RT\n\xf0\x9f\x91\x89 Follow Us\n\xf0\x9f\x91\x89 #Tag 3 friends in a comment\n\n\xf0\x9f\x95\x92 4 winner will be selected on 24 january\n\n#crypto #btc #Eth #BinanceSmartChain #Airdrop #giveaway #bitcoin\n#Binance #Trustwallet #PancakeSwap',0.3,1.2
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
"b'What makes #NFT Trading on @WAX_io so amazing?\n- Instant transactions\n- No transaction fees\n- Author royalties\n- Verified art, trading cards and gaming NFTs\n- Trading volume powers #ETH #DeFi bridge\n- Very small cost of minting a full collection\n@pranksyNFT @SergueiV @DCLBlogger'",0.6,1.3
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
"b'Punk 2890 bought for 605 ETH ($761,888.57 USD) by 0x24c5eb from 0x6611fe. https://t.co/p5IvIq3MnB #cryptopunks #ethereum https://t.co/xq8Cl2imKV'",0.2,0.4
b'@TraderLenny @Exeedme Yeah definitely was. $XED is too strong for these dips. Showing its real character time and time again as one of the most bullish tokens for what will be #Altseason2021 \n\n#eth #btc #Polkastarter #polkadot #uniswap #binance',0.0,1.5
b'https://t.co/rSm68zf95J\n\nReceive $500 bonus by signing up and funding your account with at least $100 using my referral link.\nDon\xe2\x80\x99t miss out on this amazing opportunity \xf0\x9f\xa4\x91\xf0\x9f\x9a\x80\n\nhttps://t.co/df89wZqRM3.\xe2\x80\xa6\n\nReferral code: Nina\n\n#btc\xc2\xa0 #eth #xrp #crypto \n#fridaymorning \nSabrina Verzuz https://t.co/HnpofpjIaH',0.3,2.0
"b""I'll send $200 in #ETH or #BTC to one person who retweets this and follows @bud_crypto ! \n\nMust RETWEET &amp; LIKE 5 of his tweets.\n\nEnds in 72 hours!""",0.0,0.5
b'Strike point hit for $ETH / USDT #Ethereum see if can follow the ETH / BTC pattern &amp; breakout on 4th try https://t.co/DSVN5hpLsT',-0.1,0.1
b'Have you two had the chance to meet? Highly recommend an idea scrum. Virtual coffee on me \n@elonmusk @diiorioanthony $TSLA #Ethereum #Bitcoin  \n@jaxx_io',0.3,0.9
"b'$DYP liquidity providers earned 835.10 #ETH worth $1,057,175 in just 23 days! A new milestone to celebrate!\nMore than $1 Mil paid in less then 30 days!\n\nIf you want to start earning #Ethereum you just need to join one of our liquidity pools https://t.co/zxyI0V2tnr\n\n#Uniswap #DeFi https://t.co/D5xWwYJ9kZ'",0.6,3.0
b'\xf0\x9f\x93\xa2@ATokenOfficial now supports deposit and withdrawal #ETHTRON(#TRC20-#ETH). https://t.co/YYW0KRNNij',0.2,0.4
"b""Looks like a Double Top on $ETH 1M chart... You're welcome. \xf0\x9f\x98\xb1 #ETH #Ethereum @ethereum #DeFi https://t.co/mrmRpGtWMC""",0.5,1.7
"b'BTW, as a general rule, I personally don\'t buy NFTs as ""investments.""\n\nAny NFTs I buy are for my own enjoyment, and as commemorative collectibles of being here on #Ethereum during these early days.\n\nStill, the few I buy, I cherish. And I expect some may rise in value over time.'",0.2,2.4
b'https://t.co/rSm68zf95J\n\nReceive $500 bonus by signing up and funding your account with at least $100 using my referral link.\nDon\xe2\x80\x99t miss out on this amazing opportunity \xf0\x9f\xa4\x91\xf0\x9f\x9a\x80\n\nhttps://t.co/df89wZqRM3.\xe2\x80\xa6\n\nReferral code: Nina\n\n#btc\xc2\xa0 #eth #xrp #crypto \n#fridaymorning \nSabrina Verzuz https://t.co/HnpofpjIaH',0.3,2.0
b'@maxkeiser and his cronies are anti American. Avoid this group. \n#bitcoin #cryptocurrencies #forex #AmericaFirst #Atlanta #ethereum #eth',-0.4,1.2
b'https://t.co/rSm68zf95J\n\nReceive $500 bonus by signing up and funding your account with at least $100 using my referral link.\nDon\xe2\x80\x99t miss out on this amazing opportunity \xf0\x9f\xa4\x91\xf0\x9f\x9a\x80\n\nhttps://t.co/df89wZqRM3.\xe2\x80\xa6\n\nReferral code: Nina\n\n#btc\xc2\xa0 #eth #xrp #crypto \n#fridaymorning \nSabrina Verzuz https://t.co/HnpofpjIaH',0.3,2.0
"b""#HEX was made to Last - hence no need to ever rewrite the code, it's done it's immutable. All other crap are designed to break / not last for the sake of experimentation with otherpeoples' money. \n\nThe fact that they all have admin keys should be enough proof for that. \n\n#ETH""",-0.1,1.2
"b'Top 10 https://t.co/2VriAuMQtL trending searches as of 9:34PM UTC Sat, Jan 23\n$bat #basicattentiontoken\n$nim #nimiq\n$link #chainlink\n$ankr #ankr\n$xtz #tezos\n$albt #allianceblock\n$btc #bitcoin\n$mana #decentraland\n$eth #ethereum\n$vet #vechain https://t.co/l9vXtP7L1x'",0.2,0.2
b'The risk you\xe2\x80\x99re afraid to take could change your life.\n#btc\n#Ethereum \n#Chainlink https://t.co/4VlsZ9ka2R',-0.1,0.7
b'I feel like buying more #ETH',0.9,0.9
"b'GIVE AWAY FOR 2021, I have remaining $1,000.00 Plus USDT-ERC20 to my old ETH wallet. 3 winners will receive $333 usdt.\n\nTO ENTER:\n\xe2\x9c\x85 follow me\n\xe2\x9c\x85 Retweet &amp; like\n\xe2\x9c\x85 Tag 3 friends\n\nWinners after 72Hours\n\n#Bitcoin\n#Ethereum\n#Cryptocurrency\n#Giveaway\n#airdrop\n\n@coinkit_ com 5 40 dvt'",0.0,1.2
"b'$10,000 GIVEAWAY! $XVS \xf0\x9f\xa5\xb3\n\n\xe2\x9c\x85Visit https://t.co/oLTDVx9l8S \n\xe2\x9c\x85Quote this Post &amp; Share your Thoughts on $XVS\n\xe2\x9c\x85Add #NeoBenk #XVS $XVS $NBN #DeFi #BTC #ETH \n\nMust follow @NeoBenkPS &amp; @NeoBenkHQ &amp; @NeoBenkForGood +Tag 9 friends! to qualify. Ends 01/30. T&amp;Cs\xf0\x9f\x91\x87#GiveawayAlert #Giveaway'",0.0,0.8
